town_code,region_code,ID Provincia,ID Municipio,name,population,census,votes,null_votes,blank_votes,scrutinized,Fecha
02001,07,02,001,Abengibre,775,674,599,22,6,100,Datos de las 22:22 del 24 de Mayo de 2015
02002,07,02,002,Alatoz,580,514,460,8,4,100,Datos de las 22:09 del 24 de Mayo de 2015
02003,07,02,003,Albacete,172487,132120,88959,1287,1654,100,Datos de las 23:00 del 24 de Mayo de 2015
02004,07,02,004,Albatana,748,641,574,10,8,100,Datos de las 21:21 del 24 de Mayo de 2015
02005,07,02,005,Alborea,778,601,508,6,3,100,Datos de las 21:33 del 24 de Mayo de 2015
02006,07,02,006,Alcadozo,684,594,540,12,9,100,Datos de las 21:21 del 24 de Mayo de 2015
02007,07,02,007,Alcalá del Júcar,1307,1082,887,30,20,100,Datos de las 21:18 del 24 de Mayo de 2015
02008,07,02,008,Alcaraz,1533,1273,991,28,18,100,Datos de las 22:06 del 24 de Mayo de 2015
02009,07,02,009,Almansa,25024,19694,14055,299,239,100,Datos de las 22:57 del 24 de Mayo de 2015
02010,07,02,010,Alpera,2358,1842,1560,83,26,100,Datos de las 22:27 del 24 de Mayo de 2015
02011,07,02,011,Ayna,719,667,607,7,2,100,Datos de las 22:09 del 24 de Mayo de 2015
02012,07,02,012,Balazote,2417,1843,1616,36,14,100,Datos de las 22:09 del 24 de Mayo de 2015
02014,07,02,014,"Ballestero, El",459,376,324,7,1,100,Datos de las 21:09 del 24 de Mayo de 2015
02013,07,02,013,Balsa de Ves,176,140,122,1,1,100,Datos de las 20:57 del 24 de Mayo de 2015
02015,07,02,015,Barrax,1920,1499,1278,60,19,100,Datos de las 21:45 del 24 de Mayo de 2015
02016,07,02,016,Bienservida,668,588,516,10,8,100,Datos de las 22:09 del 24 de Mayo de 2015
02017,07,02,017,Bogarra,955,857,710,32,11,100,Datos de las 22:22 del 24 de Mayo de 2015
02018,07,02,018,Bonete,1157,844,730,31,19,100,Datos de las 21:33 del 24 de Mayo de 2015
02019,07,02,019,"Bonillo, El",2956,2435,2105,63,35,100,Datos de las 22:31 del 24 de Mayo de 2015
02020,07,02,020,Carcelén,573,472,429,6,6,100,Datos de las 22:09 del 24 de Mayo de 2015
02021,07,02,021,Casas de Juan Núñez,1372,1064,947,40,7,100,Datos de las 22:22 del 24 de Mayo de 2015
02022,07,02,022,Casas de Lázaro,386,378,357,1,0,100,Datos de las 22:57 del 24 de Mayo de 2015
02023,07,02,023,Casas de Ves,689,589,520,19,7,100,Datos de las 21:33 del 24 de Mayo de 2015
02024,07,02,024,Casas-Ibáñez,4713,3456,2694,62,61,100,Datos de las 22:06 del 24 de Mayo de 2015
02025,07,02,025,Caudete,10294,7585,5791,260,83,100,Datos de las 23:12 del 24 de Mayo de 2015
02026,07,02,026,Cenizate,1176,874,752,10,7,100,Datos de las 21:57 del 24 de Mayo de 2015
02029,07,02,029,Chinchilla de Monte-Aragón,4099,3324,2457,106,49,100,Datos de las 23:00 del 24 de Mayo de 2015
02027,07,02,027,Corral-Rubio,365,313,288,5,2,100,Datos de las 21:15 del 24 de Mayo de 2015
02028,07,02,028,Cotillas,139,133,113,2,2,100,Datos de las 21:33 del 24 de Mayo de 2015
02030,07,02,030,Elche de la Sierra,3814,3098,2555,36,28,100,Datos de las 23:12 del 24 de Mayo de 2015
02031,07,02,031,Férez,719,588,523,3,4,100,Datos de las 21:48 del 24 de Mayo de 2015
02032,07,02,032,Fuensanta,345,293,234,1,1,100,Datos de las 21:51 del 24 de Mayo de 2015
02033,07,02,033,Fuente-Álamo,2652,1957,1648,53,20,100,Datos de las 22:31 del 24 de Mayo de 2015
02034,07,02,034,Fuentealbilla,1931,1445,1222,25,33,100,Datos de las 21:42 del 24 de Mayo de 2015
02035,07,02,035,"Gineta, La",2485,2020,1628,89,51,100,Datos de las 22:48 del 24 de Mayo de 2015
02036,07,02,036,Golosalvo,122,100,80,4,4,100,Datos de las 20:36 del 24 de Mayo de 2015
02037,07,02,037,Hellín,30862,22904,13638,465,377,100,Datos de las 23:21 del 24 de Mayo de 2015
02038,07,02,038,"Herrera, La",349,289,239,10,3,100,Datos de las 21:09 del 24 de Mayo de 2015
02039,07,02,039,Higueruela,1273,1017,882,15,22,100,Datos de las 21:48 del 24 de Mayo de 2015
02040,07,02,040,Hoya-Gonzalo,694,605,566,29,4,100,Datos de las 21:39 del 24 de Mayo de 2015
02041,07,02,041,Jorquera,408,363,300,5,9,100,Datos de las 21:36 del 24 de Mayo de 2015
02042,07,02,042,Letur,1018,861,704,20,6,100,Datos de las 22:21 del 24 de Mayo de 2015
02043,07,02,043,Lezuza,1504,1280,1097,29,18,100,Datos de las 21:30 del 24 de Mayo de 2015
02044,07,02,044,Liétor,1336,1146,854,77,23,100,Datos de las 21:39 del 24 de Mayo de 2015
02045,07,02,045,Madrigueras,4739,3745,3122,61,75,100,Datos de las 22:21 del 24 de Mayo de 2015
02046,07,02,046,Mahora,1430,1174,1031,41,30,100,Datos de las 21:39 del 24 de Mayo de 2015
02047,07,02,047,Masegoso,121,117,105,5,1,100,Datos de las 21:36 del 24 de Mayo de 2015
02048,07,02,048,Minaya,1571,1284,1103,26,11,100,Datos de las 22:29 del 24 de Mayo de 2015
02049,07,02,049,Molinicos,931,854,669,15,14,100,Datos de las 21:45 del 24 de Mayo de 2015
02050,07,02,050,Montalvos,110,101,89,4,1,100,Datos de las 21:18 del 24 de Mayo de 2015
02051,07,02,051,Montealegre del Castillo,2162,1704,1217,70,60,100,Datos de las 21:30 del 24 de Mayo de 2015
02052,07,02,052,Motilleja,563,475,423,2,10,100,Datos de las 22:00 del 24 de Mayo de 2015
02053,07,02,053,Munera,3678,3003,2434,71,36,100,Datos de las 22:09 del 24 de Mayo de 2015
02054,07,02,054,Navas de Jorquera,520,415,355,9,15,100,Datos de las 21:09 del 24 de Mayo de 2015
02055,07,02,055,Nerpio,1384,1164,921,7,3,100,Datos de las 21:48 del 24 de Mayo de 2015
02056,07,02,056,Ontur,2169,1740,1465,35,8,100,Datos de las 22:15 del 24 de Mayo de 2015
02057,07,02,057,Ossa de Montiel,2530,2111,1679,42,40,100,Datos de las 22:03 del 24 de Mayo de 2015
02058,07,02,058,Paterna del Madera,385,342,286,2,1,100,Datos de las 21:12 del 24 de Mayo de 2015
02060,07,02,060,Peñas de San Pedro,1405,1316,1069,34,11,100,Datos de las 22:21 del 24 de Mayo de 2015
02059,07,02,059,Peñascosa,366,323,277,4,1,100,Datos de las 21:36 del 24 de Mayo de 2015
02061,07,02,061,Pétrola,744,653,542,13,23,100,Datos de las 21:21 del 24 de Mayo de 2015
02062,07,02,062,Povedilla,484,416,331,21,14,100,Datos de las 21:18 del 24 de Mayo de 2015
02901,07,02,901,Pozo Cañada,2815,2212,1866,31,40,100,Datos de las 0:48 del 25 de Mayo de 2015
02063,07,02,063,Pozohondo,1723,1483,1215,38,42,100,Datos de las 22:09 del 24 de Mayo de 2015
02064,07,02,064,Pozo-Lorente,420,381,337,11,3,100,Datos de las 21:39 del 24 de Mayo de 2015
02065,07,02,065,Pozuelo,534,482,435,5,9,100,Datos de las 21:30 del 24 de Mayo de 2015
02066,07,02,066,"Recueja, La",278,240,220,2,2,100,Datos de las 20:57 del 24 de Mayo de 2015
02067,07,02,067,Riópar,1477,1220,1010,30,19,100,Datos de las 22:54 del 24 de Mayo de 2015
02068,07,02,068,Robledo,422,348,281,10,7,100,Datos de las 21:03 del 24 de Mayo de 2015
02069,07,02,069,"Roda, La",15979,11636,8282,359,253,100,Datos de las 21:54 del 24 de Mayo de 2015
02070,07,02,070,Salobre,561,431,370,9,0,100,Datos de las 21:09 del 24 de Mayo de 2015
02071,07,02,071,San Pedro,1226,1119,1041,15,18,100,Datos de las 21:30 del 24 de Mayo de 2015
02072,07,02,072,Socovos,1881,1590,1306,9,17,100,Datos de las 22:22 del 24 de Mayo de 2015
02073,07,02,073,Tarazona de la Mancha,6550,4931,3716,90,53,100,Datos de las 22:15 del 24 de Mayo de 2015
02074,07,02,074,Tobarra,8075,6058,4340,82,87,100,Datos de las 22:14 del 24 de Mayo de 2015
